nome,comodo_nome,subcategoria_nome,quantidade,data_validade,icone,foto_url
Arroz,Cozinha,Armário,2,,bi-basket,
Feijão,Cozinha,Armário,2,,bi-basket2,
Açúcar,Cozinha,Armário,1,,bi-box-seam,
Sal,Cozinha,Armário,1,,bi-box-seam,
Óleo de cozinha,Cozinha,Armário,1,,bi-droplet-fill,
Café,Cozinha,Armário,1,,bi-cup-hot-fill,
Macarrão,Cozinha,Armário,2,,bi-basket3,
Farinha de trigo,Cozinha,Armário,1,,bi-box-seam,
Leite,Cozinha,Geladeira,2,,bi-cup-straw,
Ovos,Cozinha,Geladeira,1,,bi-egg-fried,
Manteiga,Cozinha,Geladeira,1,,bi-box,
Queijo,Cozinha,Geladeira,1,,bi-square,
Iogurte,Cozinha,Geladeira,2,,bi-cup,
Papel higiênico,Banheiro,Armário,4,,bi-box,
Sabonete,Banheiro,Armário,2,,bi-droplet-half,
Pasta de dente,Banheiro,Armário,1,,bi-brush,
Shampoo,Banheiro,Armário,1,,bi-droplet,
Condicionador,Banheiro,Armário,1,,bi-droplet,
Escova de dente,Banheiro,Prateleira,2,,bi-brush,
Toalha de banho,Banheiro,Prateleira,2,,bi-square,
Fio dental,Banheiro,Prateleira,1,,bi-dash-lg,
Lençol,Quarto,Guarda-roupas,2,,bi-square,
Travesseiro,Quarto,Guarda-roupas,2,,bi-circle,
Cobertor,Quarto,Guarda-roupas,1,,bi-square,
Detergente,Lavanderia,Outros,1,,bi-droplet-fill,
Sabão em pó,Lavanderia,Outros,1,,bi-box-seam,
Amaciante,Lavanderia,Outros,1,,bi-droplet,
Água sanitária,Lavanderia,Outros,1,,bi-droplet-half,
Esponja de louça,Lavanderia,Outros,3,,bi-square,
Pilha AA,Sala,Outros,4,,bi-battery,
Lâmpada,Sala,Outros,2,,bi-lightbulb,
Controle remoto (pilhas),Sala,Outros,2,,bi-battery-full,
Papel A4,Escritório,Outros,1,,bi-file-earmark,
Caneta,Escritório,Outros,3,,bi-pen,
Grampos de grampeador,Escritório,Outros,1,,bi-dash-lg,
